Rk,Player,Age,Team,Pos,G,GS,MP,FG%,2P%,3P%,eFG%,FT%,TS%,FTr,3PAr,FG+,2P+,3P+,eFG+,FT+,TS+,FTr+,3PAr+,FG Add,TS Add
1,Mikal Bridges,28,NYK,SF,82,82,3036,0.5,0.594,0.354,0.57,0.814,0.585,0.1,0.391,107,109,98,105,104,101,41,93,63.1,20.9
2,Josh Hart,29,NYK,SG,77,77,2897,0.525,0.618,0.333,0.579,0.776,0.611,0.266,0.327,112,113,93,107,99,106,110,78,55.7,59.7
3,Anthony Edwards,23,MIN,SG,79,79,2871,0.447,0.501,0.395,0.547,0.837,0.595,0.308,0.503,96,92,110,101,107,103,127,119,11.2,67.9
4,Devin Booker,28,PHO,SG,75,75,2795,0.461,0.542,0.332,0.525,0.894,0.589,0.34,0.388,99,99,92,97,115,102,140,92,-51.3,41.7
5,James Harden,35,LAC,PG,79,79,2789,0.41,0.472,0.352,0.501,0.874,0.582,0.446,0.516,88,87,98,92,112,101,184,122,-109.5,16.6
6,DeMar DeRozan,35,SAC,SF,77,77,2768,0.477,0.513,0.328,0.509,0.857,0.569,0.337,0.196,102,94,91,94,110,99,139,46,-88.7,-20.9
7,Trae Young,26,ATL,PG,76,76,2739,0.411,0.474,0.34,0.491,0.875,0.567,0.408,0.467,88,87,94,90,112,98,168,111,-144.5,-29.1
8,Tyler Herro,25,MIA,SG,77,77,2725,0.472,0.565,0.375,0.563,0.878,0.605,0.237,0.486,101,104,104,104,113,105,98,115,56.3,86.2
9,OG Anunoby,27,NYK,PF,74,74,2706,0.476,0.561,0.372,0.559,0.81,0.591,0.22,0.448,102,103,103,103,104,103,91,106,33.5,33.9
10,Jalen Green,22,HOU,SG,82,82,2697,0.423,0.482,0.354,0.505,0.813,0.544,0.234,0.46,91,88,98,93,104,94,96,109,-110.8,-103.3
11,Christian Braun,23,DEN,SG,79,77,2675,0.58,0.648,0.397,0.634,0.827,0.665,0.261,0.273,124,119,110,117,106,115,107,65,149.3,163.4
12,Bam Adebayo,27,MIA,C,78,78,2674,0.485,0.517,0.357,0.521,0.765,0.561,0.295,0.199,104,95,99,96,98,97,121,47,-49.9,-38.9
13,Ivica Zubac,27,LAC,C,80,80,2624,0.628,0.628,,0.628,0.661,0.641,0.251,0,135,115,,116,85,111,103,0,160.9,134.8
14,Jayson Tatum,26,BOS,PF,72,72,2624,0.452,0.559,0.343,0.537,0.814,0.582,0.3,0.497,97,103,95,99,104,101,124,118,-17.2,20.7
15,Jaden McDaniels,24,MIN,PF,82,82,2614,0.477,0.561,0.33,0.537,0.813,0.562,0.153,0.363,102,103,92,99,104,97,63,86,-9.8,-26
16,Keegan Murray,24,SAC,PF,76,76,2610,0.444,0.566,0.343,0.538,0.833,0.553,0.088,0.548,95,104,95,99,107,96,36,130,-8.6,-39.5
17,Zach LaVine,29,2TM,SF,74,74,2602,0.511,0.562,0.446,0.609,0.825,0.639,0.233,0.438,109,103,124,112,106,111,96,104,160.6,170.1
17,Zach LaVine,29,CHI,SF,42,42,1432,0.511,0.56,0.446,0.607,0.797,0.637,0.256,0.43,109,103,124,112,102,111,106,102,90.8,96.5
17,Zach LaVine,29,SAC,SG,32,32,1170,0.511,0.564,0.446,0.611,0.874,0.642,0.201,0.45,109,103,124,113,112,111,83,107,69.8,73.6
18,Shai Gilgeous-Alexander,26,OKC,PG,76,76,2598,0.519,0.571,0.375,0.569,0.898,0.637,0.404,0.263,111,105,104,105,115,111,166,62,84.4,236.4
19,Michael Porter Jr.,26,DEN,SF,77,77,2593,0.504,0.599,0.395,0.596,0.768,0.617,0.185,0.467,108,110,110,110,98,107,76,111,110.7,91.9
20,Derrick White,30,BOS,SG,76,76,2574,0.442,0.593,0.384,0.58,0.839,0.606,0.168,0.721,95,109,106,107,108,105,69,171,71.4,61.2
21,Dyson Daniels,21,ATL,SG,76,76,2571,0.493,0.545,0.34,0.536,0.593,0.545,0.152,0.255,106,100,95,99,76,95,62,60,-12.5,-61.6
22,Nikola Jokić,29,DEN,C,70,70,2571,0.576,0.627,0.417,0.627,0.8,0.663,0.331,0.243,123,115,116,115,103,115,136,58,228.5,270.5
23,Austin Reaves,26,LAL,SG,73,73,2550,0.46,0.547,0.377,0.556,0.877,0.616,0.353,0.512,98,100,105,102,112,107,145,122,27.7,94.4
24,Toumani Camara,24,POR,PF,78,78,2548,0.458,0.542,0.375,0.552,0.722,0.572,0.176,0.503,98,99,104,102,93,99,72,119,13.3,-7
25,Pascal Siakam,30,IND,PF,78,78,2548,0.519,0.568,0.389,0.572,0.734,0.599,0.261,0.274,111,104,108,105,94,104,107,65,68.2,59.7
26,Brook Lopez,36,MIL,C,80,80,2546,0.509,0.636,0.373,0.599,0.826,0.624,0.178,0.482,109,117,103,110,106,108,73,114,86.3,79.1
27,Karl-Anthony Towns,29,NYK,C,72,72,2517,0.526,0.567,0.42,0.584,0.829,0.63,0.337,0.278,113,104,117,108,106,109,139,66,100.3,151.5
28,Bub Carrington,19,WAS,PG,82,57,2458,0.401,0.475,0.339,0.493,0.812,0.514,0.114,0.544,86,87,94,91,104,89,47,129,-74.4,-98.1
29,Cade Cunningham,23,DET,PG,70,70,2452,0.469,0.515,0.356,0.521,0.846,0.565,0.254,0.287,100,94,99,96,108,98,105,68,-65.5,-36.6
30,Tyrese Haliburton,24,IND,PG,73,73,2451,0.473,0.581,0.388,0.582,0.851,0.616,0.221,0.559,101,107,108,107,109,107,91,133,77.3,87.1
31,Coby White,24,CHI,SG,74,73,2450,0.453,0.544,0.37,0.55,0.902,0.601,0.274,0.521,97,100,103,101,116,104,113,124,14.4,61.5
32,LeBron James,40,LAL,SF,70,70,2444,0.513,0.574,0.376,0.571,0.782,0.604,0.261,0.312,110,105,104,105,100,105,107,74,71.6,78.6
33,Domantas Sabonis,28,SAC,C,70,70,2429,0.59,0.627,0.417,0.627,0.754,0.655,0.324,0.175,126,115,116,115,97,114,133,41,149.1,161.4
