Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg
1,Mikal Bridges,28,NYK,SF,82,82,3036,9.7,19.3,0.5,2.7,7.6,0.354,7,11.8,0.594,0.57,1.6,1.9,0.814,1.2,3.1,4.2,5,1.2,0.7,2.2,2.1,23.6,117,118
2,Josh Hart,29,NYK,SG,77,77,2897,6.9,13.2,0.525,1.4,4.3,0.333,5.5,8.9,0.618,0.579,2.7,3.5,0.776,2.8,9.9,12.6,7.8,2,0.5,2.7,3.4,18,125,112
3,Anthony Edwards,23,MIN,SG,79,79,2871,12.4,27.7,0.447,5.5,13.9,0.395,6.9,13.8,0.501,0.547,7.1,8.5,0.837,1,6.7,7.7,6.2,1.6,0.9,4.3,2.6,37.4,115,112
4,Devin Booker,28,PHO,SG,75,75,2795,11.6,25.1,0.461,3.2,9.7,0.332,8.3,15.4,0.542,0.525,7.6,8.5,0.894,1.3,4.1,5.4,9.4,1.2,0.3,3.9,3.5,34,119,123
5,James Harden,35,LAC,PG,79,79,2789,9.4,22.9,0.41,4.1,11.8,0.352,5.2,11.1,0.472,0.501,8.9,10.2,0.874,1,7.1,8.1,12.1,2.1,1,6,2.9,31.8,114,110
6,DeMar DeRozan,35,SAC,SF,77,77,2768,11,23.1,0.477,1.5,4.5,0.328,9.5,18.6,0.513,0.509,6.7,7.8,0.857,0.9,4.4,5.3,6,1.1,0.6,1.9,2.7,30.2,120,119
7,Trae Young,26,ATL,PG,76,76,2739,9.7,23.5,0.411,3.7,11,0.34,5.9,12.5,0.474,0.491,8.4,9.6,0.875,0.6,3.4,4,15,1.6,0.2,6.1,2.5,31.4,114,119
8,Tyler Herro,25,MIA,SG,77,77,2725,11.9,25.2,0.472,4.6,12.3,0.375,7.3,13,0.565,0.563,5.3,6,0.878,0.6,6.7,7.3,7.8,1.3,0.3,3.6,1.6,33.7,117,115
9,OG Anunoby,27,NYK,PF,74,74,2706,9,18.8,0.476,3.1,8.4,0.372,5.8,10.4,0.561,0.559,3.4,4.1,0.81,1.8,4.8,6.6,3,2,1.2,1.9,3.2,24.4,118,114
10,Jalen Green,22,HOU,SG,82,82,2697,11,25.9,0.423,4.2,11.9,0.354,6.8,14,0.482,0.505,4.9,6.1,0.813,0.8,6,6.8,5.1,1.3,0.5,3.7,2.3,31.1,110,113
